PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,DATE_DIFF,YEAR
P03210,1,0.4016,0.655,1.0,1.0,3,-2,1,-1,1,1,-1,0.8,0.78,0.9800000000000001,0.8712273641851107,0.38620947595439475,0.291478689153319,7600000,0.8,0.9786069651741294
P09411,-3,0.7944,0.13,2.0,1.0,5,-2,0,-1,1,0,2,0.9800000000000001,0.8400000000000001,0.5,0.7575452716297787,0.7725429454773854,0.6137382545594009,21717770,0.2,0.9925373134328358
P01812,-2,0.3636,0.35,1.0,1.0,3,-2,1,-1,-1,0,1,0.82,0.76,0.44000000000000006,0.6217303822937625,0.42797498175668397,0.18593675881349603,13159200,0.36363636363636365,0.991044776119403
P05346,3,0.742,0.07,3.0,2.0,5,-1,0,1,-2,1,-2,0.9400000000000001,0.78,0.72,0.806841046277666,0.362143543898805,0.15551316599549864,9630290,0.4,0.9890547263681592
P06210,1,0.4904,0.42,1.0,1.0,3,-2,1,1,1,0,0,0.6,0.5,0.82,0.6619718309859155,0.24087275210839884,0.14949990411885225,7406250,0.5454545454545454,0.9845771144278607
P00219,0,0.488,0.18,2.0,1.0,4,1,0,-1,0,-1,2,0.9,0.52,0.62,0.6680080482897385,0.41571079821367957,0.4003108567737508,12394750,0.09090909090909091,0.9995024875621891
P09105,0,0.4668,0.685,1.0,1.0,3,1,0,1,1,-1,1,0.72,0.42000000000000004,0.5,0.5372233400402414,0.26745209477987075,0.06853988151108689,8488790,0.509090909090909,0.9845771144278607
P09679,3,0.7388,0.88,3.0,2.0,5,-1,0,-1,1,0,3,0.48,0.9,0.42000000000000004,0.6559356136820925,0.6146920182697408,0.4747711468394546,16800250,0.18181818181818182,0.9930348258706467
P03377,0,0.3084,0.875,1.0,1.0,2,0,0,1,-2,1,3,0.58,0.74,0.8,0.7142857142857143,0.26178701157205553,0.067088543716757,8308970,0.6181818181818182,0.9835820895522388
P09623,3,0.654,0.37,2.0,1.0,4,-2,0,1,-1,-1,-2,0.62,0.62,0.6599999999999999,0.6358148893360162,0.3286297084524993,0.244759338319153,8083650,0.2727272727272727,0.9905472636815921
P09540,0,0.4812,0.39,2.0,1.0,4,0,1,-1,1,-1,3,0.8,0.64,0.9,0.7706237424547284,0.4099166397336374,0.24122485643059718,14938000,0.509090909090909,0.9840796019900497
P07121,0,0.4216,0.715,1.0,1.0,3,1,0,1,-2,0,3,0.44000000000000006,0.62,0.6599999999999999,0.5814889336016097,0.2497078020412187,0.2861214561823155,9449730,0.6727272727272727,0.981094527363184
P05512,0,0.4784,0.685,1.0,1.0,3,-1,0,1,-2,-1,1,0.42000000000000004,0.5,0.42000000000000004,0.45472837022132795,0.29428552263289165,0.07084506615799195,8774370,0.34545454545454546,0.9905472636815921
P09370,-2,0.4224,0.415,1.0,1.0,3,1,1,1,-2,1,2,0.44000000000000006,0.6799999999999999,0.74,0.641851106639839,0.32435599569884604,0.07578849628082074,9386490,0.4727272727272727,0.9855721393034826
P04085,3,0.746,0.785,3.0,2.0,5,-1,0,-1,-2,1,3,0.96,0.44000000000000006,0.9800000000000001,0.7364185110663984,0.6301180378119404,0.5944510047335009,15499680,0.9818181818181818,0.9731343283582089
P06328,3,0.7472,0.74,3.0,2.0,5,-1,0,-1,-2,0,2,0.76,0.76,0.62,0.7119409808146956,0.6068926195369145,0.3806360452559017,15714080,0.16363636363636364,0.9950248756218906
P06039,1,0.6556,0.875,2.0,2.0,4,2,1,0,-1,0,-2,0.45999999999999996,0.64,0.96,0.7183098591549296,0.29031569575637095,0.15725315650831137,8656000,0.32727272727272727,0.9905472636815921
P02016,0,0.3184,0.67,1.0,1.0,2,0,1,-1,1,-1,1,0.7,0.9199999999999999,0.9400000000000001,0.8651911468812877,0.32163525157482,0.26433120376257807,10912550,0.6727272727272727,0.9825870646766169
P08160,-2,0.4544,0.345,1.0,1.0,3,2,1,1,1,1,-1,0.9199999999999999,0.52,0.58,0.6740442655935615,0.32849555147664145,0.10037242256335725,8287550,0.5454545454545454,0.9840796019900497
P01372,-3,0.7608,0.84,2.0,1.0,5,-1,1,-1,-1,1,1,0.9,0.9800000000000001,0.9800000000000001,0.9577464788732395,0.7542396653393256,0.4279972951423583,21203240,0.7636363636363637,0.9800995024875622
P00936,0,0.4276,0.265,1.0,1.0,3,-2,1,1,-2,1,3,0.5599999999999999,0.54,0.9800000000000001,0.682092555331992,0.288177314868455,0.08805320899062383,10905530,0.07272727272727272,0.9995024875621891
